"Kod";"Nazwa";"studenci ogółem;2022;[osoba]";
0203000;"Powiat głogowski";549;
0208000;"Powiat kłodzki";828;
0211000;"Powiat lubiński";419;
0216000;"Powiat polkowicki";269;
0219000;"Powiat świdnicki";225;
0225000;"Powiat zgorzelecki";25;
0261000;"Powiat m. Jelenia Góra";1391;
0262000;"Powiat m. Legnica";2928;
0264000;"Powiat m. Wrocław";105103;
0265000;"Powiat m. Wałbrzych od 2013";3314;
0407000;"Powiat inowrocławski";453;
0414000;"Powiat świecki";155;
0416000;"Powiat tucholski";379;
0461000;"Powiat m. Bydgoszcz";25873;
0462000;"Powiat m. Grudziądz";513;
0463000;"Powiat m. Toruń";26298;
0464000;"Powiat m. Włocławek";2381;
0614000;"Powiat puławski";240;
0615000;"Powiat radzyński";29;
0616000;"Powiat rycki";1537;
0661000;"Powiat m. Biała Podlaska";2967;
0662000;"Powiat m. Chełm";1961;
0663000;"Powiat m. Lublin";58196;
0664000;"Powiat m. Zamość";1268;
0805000;"Powiat słubicki";100;
0811000;"Powiat żarski";342;
0861000;"Powiat m. Gorzów Wielkopolski";2710;
0862000;"Powiat m. Zielona Góra";8714;
1001000;"Powiat bełchatowski";358;
1002000;"Powiat kutnowski";871;
1014000;"Powiat sieradzki";396;
1016000;"Powiat tomaszowski";596;
1019000;"Powiat zduńskowolski";170;
1061000;"Powiat m. Łódź";64533;
1062000;"Powiat m. Piotrków Trybunalski";1392;
1063000;"Powiat m. Skierniewice";945;
1201000;"Powiat bocheński";144;
1207000;"Powiat limanowski";179;
1208000;"Powiat miechowski";47;
1209000;"Powiat myślenicki";1014;
1211000;"Powiat nowotarski";1799;
1212000;"Powiat olkuski";110;
1213000;"Powiat oświęcimski";1807;
1215000;"Powiat suski";424;
1261000;"Powiat m. Kraków";129357;
1262000;"Powiat m. Nowy Sącz";8332;
1263000;"Powiat m. Tarnów";4627;
1402000;"Powiat ciechanowski";1276;
1403000;"Powiat garwoliński";55;
1405000;"Powiat grodziski";1780;
1412000;"Powiat miński";76;
1413000;"Powiat mławski";291;
1417000;"Powiat otwocki";1318;
1420000;"Powiat płoński";207;
1421000;"Powiat pruszkowski";735;
1422000;"Powiat przasnyski";245;
1424000;"Powiat pułtuski";795;
1428000;"Powiat sochaczewski";271;
1435000;"Powiat wyszkowski";225;
1438000;"Powiat żyrardowski";1304;
1461000;"Powiat m. Ostrołęka";232;
1462000;"Powiat m. Płock";3933;
1463000;"Powiat m. Radom";7926;
1464000;"Powiat m. Siedlce";5953;
1465000;"Powiat m. st. Warszawa";238402;
1601000;"Powiat brzeski";193;
1607000;"Powiat nyski";1778;
1661000;"Powiat m. Opole";19571;
1804000;"Powiat jarosławski";2441;
1805000;"Powiat jasielski";412;
1811000;"Powiat mielecki";149;
1814000;"Powiat przeworski";575;
1817000;"Powiat sanocki";1265;
1818000;"Powiat stalowowolski";581;
1861000;"Powiat m. Krosno";1968;
1862000;"Powiat m. Przemyśl";918;
1863000;"Powiat m. Rzeszów";35213;
1864000;"Powiat m. Tarnobrzeg";907;
2010000;"Powiat siemiatycki";83;
2061000;"Powiat m. Białystok";24325;
2062000;"Powiat m. Łomża";2962;
2063000;"Powiat m. Suwałki";1249;
2202000;"Powiat chojnicki";756;
2206000;"Powiat kościerski";115;
2207000;"Powiat kwidzyński";763;
2208000;"Powiat lęborski";121;
2209000;"Powiat malborski";104;
2213000;"Powiat starogardzki";2183;
2214000;"Powiat tczewski";189;
2215000;"Powiat wejherowski";674;
2261000;"Powiat m. Gdańsk";67196;
2262000;"Powiat m. Gdynia";10794;
2263000;"Powiat m. Słupsk";3819;
2264000;"Powiat m. Sopot";2601;
2403000;"Powiat cieszyński";2009;
2411000;"Powiat raciborski";1273;
2415000;"Powiat wodzisławski";243;
2417000;"Powiat żywiecki";222;
2461000;"Powiat m. Bielsko-Biała";6130;
2462000;"Powiat m. Bytom";82;
2463000;"Powiat m. Chorzów";9599;
2464000;"Powiat m. Częstochowa";12772;
2465000;"Powiat m. Dąbrowa Górnicza";10540;
2466000;"Powiat m. Gliwice";16318;
2467000;"Powiat m. Jastrzębie-Zdrój";116;
2468000;"Powiat m. Jaworzno";44;
2469000;"Powiat m. Katowice";50866;
2472000;"Powiat m. Ruda Śląska";578;
2473000;"Powiat m. Rybnik";417;
2475000;"Powiat m. Sosnowiec";4330;
2479000;"Powiat m. Żory";371;
2607000;"Powiat ostrowiecki";870;
2608000;"Powiat pińczowski";586;
2609000;"Powiat sandomierski";267;
2611000;"Powiat starachowicki";97;
2661000;"Powiat m. Kielce";17415;
2801000;"Powiat bartoszycki";113;
2803000;"Powiat działdowski";176;
2805000;"Powiat ełcki";588;
2806000;"Powiat giżycki";149;
2807000;"Powiat iławski";148;
2808000;"Powiat kętrzyński";134;
2817000;"Powiat szczycieński";1948;
2861000;"Powiat m. Elbląg";2458;
2862000;"Powiat m. Olsztyn";16940;
3002000;"Powiat czarnkowsko-trzcianecki";47;
3003000;"Powiat gnieźnieński";890;
3006000;"Powiat jarociński";181;
3015000;"Powiat nowotomyski";331;
3017000;"Powiat ostrowski";366;
3019000;"Powiat pilski";1512;
3025000;"Powiat średzki";1399;
3028000;"Powiat wągrowiecki";172;
3030000;"Powiat wrzesiński";324;
3031000;"Powiat złotowski";19;
3061000;"Powiat m. Kalisz";3844;
3062000;"Powiat m. Konin";2079;
3063000;"Powiat m. Leszno";1561;
3064000;"Powiat m. Poznań";101108;
3203000;"Powiat drawski";19;
3205000;"Powiat gryficki";183;
3214000;"Powiat stargardzki";298;
3215000;"Powiat szczecinecki";231;
3217000;"Powiat wałecki";465;
3261000;"Powiat m. Koszalin";4140;
3262000;"Powiat m. Szczecin";29699;
3263000;"Powiat m. Świnoujście";74;
